scientificName,State,TerrestrialEcoregions,,,,,,,,,,,,,,,,,,,,
Didymocarpus pygmaea,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Elatostemma cuneatum,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Gnetum ula,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Leucas mukerjiana,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Phlebophyllum jeyporensis,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Rubus ellipticus,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Rubus ellpiticus,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Schefflera venulosa,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Syzygium,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Thalictrum foliolosum,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Toona,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Zanthoxylum rhetsa,Andhra Pradesh,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Avicennia marina,Andhra Pradesh,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Bruguiera spp.,Andhra Pradesh,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Rhizophora spp.,Andhra Pradesh,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Suaeda spp.,Andhra Pradesh,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Albizia amara,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus pendula,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Atalantia monophylla,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Avicennia marina,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Buchanania lanzan,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Canthium parviflorum,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Capparis decidua,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Catunaregam spinosa,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Chloroxylon swietenia,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Chrysopogon aciculatus,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Dalbergia latifolia,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Dendrocalamus strictus,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Dendrocalamus strictus,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros ebenum,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Eragrostis tenella,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Euphornia caducifolia,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Excoecaria agallocha,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Gyrocarpus americanus,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Heteropogon contortus,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Holoptelea integrifolia,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Madhuca longifolia var. Latifolia,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Melia azedarach,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Melia dubia,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Memecylon edule,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Mimosa hamata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Pterocarpus santalinus,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Rhizophora apiculata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Streblus asper,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia arjuna,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia bellirica,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Terminalia bellirica,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Trema orientalis,Andhra Pradesh,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Aphanamixis polystachya,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Artocarpus lakoocha,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Bridelia tomentosa,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Bridelia verrucosa,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Celtis tetrandra,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Dillenia pentagyna,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Ficus spp.,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Firmiana colorata,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Glochidion spp.,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Grewia tiliaefolia,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Litsea nitida,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Macaranga peltata,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Mangifera indica,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Mesua ferrea,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Michelia champaca,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Phoebe lanceolata,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Polyalthia spp.,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Saraca indica,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Terminalia bellirica,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,Andhra Pradesh,Odisha Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Aphanamixis spp.,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Artocarpus,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Atinodaphne spp.,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Bambusa arundinaria,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Cinnamomum,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Dendrocalamus hamilitonii,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Machilus spp.,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Magnoliacea,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Melocanna bambusoides,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Mesua ferrea,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Phoebe spp.,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Polyalthia spp.,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Stereospermum spp,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Stereospermum spp.,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Syzygium,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Terminalia citrina,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Terminalia myriocarpa,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Tetrameles spp.,Assam,Brahmaputra Valley Semi-evergreen Forests,,,,,,,,,,,,,,,,,,,,
Acer campbellii,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Betula alnoides,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Betula utilis,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Cinnamomum spp.,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Echinocarpus dasycarpus.,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Exbucklandia populnea,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Juglans regia,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Lithocarpus pachyphylla,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Machilusâ spp,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Magnolia cathcartii,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Magnolia doltsopa,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Magnolia spp.,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Quercus lamellosa,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Rhododendron arboreum,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Rhododendron falconeri,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Rhododendron thomsonii,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Symplocos cochinchinensis,Assam,Eastern Himalayan Broadleaf Forests,,,,,,,,,,,,,,,,,,,,
Nepenthes khasiana,Assam,Meghalaya Subtropical Forests,,,,,,,,,,,,,,,,,,,,
Albizia procera,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Anisoptera scaphula,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Bombax insignis,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Castanopsisâ spp.,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Dipterocarpus alatus,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Dipterocarpus griffithii,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Dipterocarpus turbinatus,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
